time,wx (rad/s)
"10,872","-0,89"
"10,876","-0,89"
"10,88","-0,88"
"10,882","-0,88"
"10,883","-0,88"
"10,886","-0,88"
"10,888","-0,87"
"10,892","-0,87"
"10,895","-0,87"
"10,895","-0,86"
"10,899","-0,86"
"10,901","-0,86"
"10,904","-0,85"
"10,907","-0,85"
"10,907","-0,85"
"10,912","-0,84"
"10,913","-0,84"
"10,918","-0,84"
"10,921","-0,83"
"10,921","-0,83"
"10,922","-0,82"
"10,925","-0,82"
"10,93","-0,81"
"10,933","-0,81"
"10,933","-0,81"
"10,946","-0,8"
"10,947","-0,8"
"10,948","-0,8"
"10,949","-0,79"
"10,956","-0,78"
"10,972","-0,78"
"10,975","-0,77"
"10,977","-0,77"
"10,977","-0,76"
"10,978","-0,75"
"10,978","-0,75"
"10,979","-0,74"
"10,979","-0,74"
"10,979","-0,73"
"10,979","-0,73"
"10,98","-0,72"
"10,98","-0,71"
"10,98","-0,7"
"10,982","-0,7"
"10,984","-0,69"
"10,985","-0,69"
"10,987","-0,68"
"10,993","-0,67"
"10,995","-0,67"
"10,997","-0,66"
"10,998","-0,65"
11,"-0,64"
"11,003","-0,64"
"11,008","-0,63"
"11,01","-0,63"
"11,012","-0,62"
"11,014","-0,61"
"11,019","-0,61"
"11,028","-0,6"
"11,029","-0,59"
"11,029","-0,59"
"11,029","-0,58"
"11,032","-0,57"
"11,033","-0,56"
"11,033","-0,56"
"11,04","-0,55"
"11,041","-0,54"
"11,041","-0,53"
"11,046","-0,53"
"11,048","-0,52"
"11,051","-0,52"
"11,051","-0,51"
"11,056","-0,5"
"11,058","-0,49"
"11,06","-0,49"
"11,061","-0,48"
"11,063","-0,47"
"11,067","-0,47"
"11,071","-0,46"
"11,073","-0,45"
"11,073","-0,45"
"11,075","-0,44"
"11,081","-0,43"
"11,082","-0,43"
"11,082","-0,42"
"11,086","-0,41"
"11,097","-0,41"
"11,099","-0,4"
"11,1","-0,39"
"11,101","-0,39"
"11,101","-0,38"
"11,102","-0,37"
"11,116","-0,36"
"11,117","-0,36"
"11,117","-0,36"
"11,117","-0,35"
"11,118","-0,34"
"11,118","-0,33"
"11,124","-0,33"
"11,125","-0,32"
"11,125","-0,31"
"11,126","-0,31"
"11,129","-0,3"
"11,132","-0,29"
"11,133","-0,29"
"11,135","-0,27"
"11,14","-0,27"
"11,142","-0,26"
"11,143","-0,26"
"11,145","-0,25"
"11,149","-0,24"
"11,152","-0,23"
"11,155","-0,22"
"11,156","-0,22"
"11,158","-0,21"
"11,161","-0,2"
"11,166","-0,2"
"11,167","-0,19"
"11,168","-0,18"
"11,171","-0,17"
"11,173","-0,16"
"11,178","-0,16"
"11,18","-0,15"
"11,181","-0,14"
"11,183","-0,13"
"11,189","-0,12"
"11,19","-0,12"
"11,192","-0,1"
"11,193","-0,09"
"11,197","-0,08"
"11,2","-0,08"
"11,203","-0,07"
"11,204","-0,06"
"11,208","-0,05"
"11,209","-0,04"
"11,213","-0,03"
"11,215","-0,02"
"11,216","-0,01"
"11,218",0
"11,227",0
"11,228","0,01"
"11,228","0,02"
"11,228","0,04"
"11,23","0,04"
"11,233","0,05"
"11,243","0,06"
"11,244","0,07"
"11,244","0,08"
"11,245","0,09"
"11,246","0,1"
"11,25","0,11"
"11,252","0,12"
"11,253","0,13"
"11,256","0,14"
"11,259","0,14"
"11,263","0,15"
"11,264","0,16"
"11,266","0,17"
"11,269","0,18"
"11,273","0,19"
"11,274","0,2"
"11,275","0,2"
"11,279","0,22"
"11,28","0,23"
"11,285","0,23"
"11,289","0,24"
"11,289","0,25"
"11,29","0,26"
"11,297","0,27"
"11,3","0,27"
"11,3","0,28"
"11,301","0,29"
"11,307","0,3"
"11,309","0,3"
"11,309","0,31"
"11,312","0,32"
"11,317","0,33"
"11,318","0,34"
"11,319","0,35"
"11,322","0,35"
"11,325","0,36"
"11,328","0,37"
"11,329","0,37"
"11,333","0,38"
"11,337","0,39"
"11,339","0,39"
"11,34","0,4"
"11,342","0,41"
"11,347","0,42"
"11,349","0,42"
"11,349","0,43"
"11,351","0,43"
"11,356","0,44"
"11,358","0,45"
"11,359","0,45"
"11,361","0,45"
"11,367","0,46"
"11,369","0,47"
"11,37","0,48"
"11,379","0,48"
"11,38","0,49"
"11,38","0,5"
"11,382","0,5"
"11,383","0,51"
"11,384","0,51"
"11,397","0,52"
"11,398","0,52"
"11,398","0,53"
"11,399","0,53"
"11,399","0,54"
"11,4","0,54"
"11,406","0,55"
"11,407","0,56"
"11,408","0,56"
"11,409","0,57"
"11,412","0,57"
"11,415","0,58"
"11,415","0,59"
"11,42","0,59"
"11,421","0,6"
"11,424","0,6"
"11,429","0,61"
"11,429","0,61"
"11,432","0,62"
"11,435","0,62"
"11,439","0,63"
"11,44","0,63"
"11,443","0,64"
"11,447","0,65"
"11,448","0,65"
"11,448","0,66"
"11,453","0,67"
"11,456","0,66"
"11,458","0,67"
"11,458","0,68"
"11,462","0,68"
"11,469","0,69"
"11,469","0,7"
"11,469","0,7"
"11,472","0,71"
"11,477","0,72"
"11,479","0,72"
"11,479","0,73"
"11,483","0,73"
"11,487","0,74"
"11,488","0,74"
"11,488","0,75"
"11,491","0,75"
"11,495","0,76"
"11,499","0,76"
"11,502","0,77"
"11,502","0,77"
"11,508","0,78"
"11,508","0,78"
"11,511","0,79"
"11,511","0,8"
"11,513","0,8"
"11,519","0,81"
"11,53","0,81"
"11,532","0,81"
"11,532","0,82"
"11,533","0,83"
"11,533","0,83"
"11,534","0,84"
"11,534","0,84"
"11,54","0,84"
"11,542","0,85"
"11,543","0,86"
"11,546","0,86"
"11,549","0,86"
"11,552","0,87"
"11,553","0,87"
"11,554","0,87"
"11,557","0,88"
"11,561","0,88"
"11,562","0,88"
"11,563","0,88"
"11,568","0,89"
"11,57","0,89"
"11,573","0,89"
"11,577","0,9"
"11,577","0,9"
"11,578","0,9"
"11,584","0,9"
"11,586","0,91"
"11,586","0,9"
"11,589","0,91"
"11,593","0,91"
"11,596","0,91"
"11,596","0,91"
"11,6","0,91"
"11,603","0,91"
"11,606","0,91"
"11,606","0,91"
"11,609","0,92"
"11,614","0,92"
"11,616","0,92"
"11,616","0,92"
"11,62","0,92"
"11,623","0,92"
"11,626","0,92"
"11,626","0,92"
"11,629","0,92"
"11,634","0,92"
"11,635","0,92"
"11,636","0,92"
"11,646","0,92"
"11,647","0,92"
"11,648","0,92"
"11,648","0,92"
"11,649","0,92"
"11,666","0,92"
"11,667","0,92"
"11,668","0,92"
"11,669","0,92"
"11,67","0,91"
"11,671","0,91"
"11,673","0,92"
"11,673","0,92"
"11,674","0,91"
"11,676","0,91"
"11,677","0,91"
"11,679","0,91"
"11,681","0,91"
"11,685","0,91"
"11,689","0,91"
"11,69","0,91"
"11,691","0,91"
"11,694","0,91"
"11,7","0,91"
"11,702","0,9"
"11,702","0,9"
"11,705","0,9"
"11,71","0,9"
"11,711","0,91"
"11,712","0,9"
"11,715","0,9"
"11,719","0,9"
"11,722","0,9"
"11,722","0,9"
"11,725","0,9"
"11,729","0,89"
"11,732","0,89"
"11,732","0,89"
"11,736","0,89"
"11,738","0,89"
"11,742","0,89"
"11,742","0,89"
"11,744","0,89"
"11,749","0,89"
"11,752","0,89"
"11,752","0,88"
"11,753","0,88"
"11,759","0,88"
"11,762","0,88"
"11,762","0,87"
"11,765","0,87"
"11,769","0,87"
"11,782","0,87"
"11,783","0,86"
"11,783","0,86"
"11,786","0,86"
"11,789","0,85"
"11,789","0,85"
"11,79","0,85"
"11,808","0,85"
"11,809","0,85"
"11,81","0,84"
"11,81","0,84"
"11,81","0,83"
"11,81","0,83"
"11,81","0,83"
"11,811","0,82"
"11,811","0,82"
"11,811","0,81"
"11,811","0,81"
"11,815","0,8"
"11,816","0,8"
"11,82","0,79"
"11,823","0,79"
"11,823","0,78"
"11,826","0,78"
"11,829","0,78"
"11,833","0,77"
"11,836","0,77"
"11,837","0,76"
"11,838","0,76"
"11,841","0,75"
"11,845","0,74"
"11,849","0,74"
"11,849","0,73"
"11,854","0,73"
"11,854","0,72"
"11,859","0,72"
"11,861","0,71"
"11,861","0,71"
"11,865","0,7"
"11,869","0,7"
"11,873","0,69"
"11,874","0,68"
"11,874","0,68"
"11,879","0,67"
"11,883","0,66"
"11,883","0,66"
"11,883","0,65"
"11,888","0,64"
"11,892","0,64"
"11,892","0,64"
"11,896","0,63"
"11,901","0,62"
"11,901","0,62"
"11,901","0,61"
"11,907","0,6"
"11,908","0,6"
"11,911","0,59"
"11,911","0,59"
"11,914","0,58"
"11,918","0,58"
"11,921","0,57"
"11,923","0,56"
"11,923","0,56"
"11,926","0,55"
"11,929","0,55"
"11,934","0,54"
"11,938","0,53"
"11,939","0,53"
"11,939","0,52"
"11,943","0,51"
"11,945","0,51"
"11,949","0,5"
"11,949","0,5"
"11,952","0,49"
"11,954","0,48"
"11,958","0,48"
"11,961","0,47"
"11,961","0,47"
"11,965","0,46"
"11,967","0,45"
"11,97","0,44"
"11,973","0,44"
"11,973","0,43"
"11,977","0,42"
"11,981","0,42"
"11,983","0,42"
"11,983","0,41"
"11,986","0,4"
"11,989","0,4"
"11,991","0,39"
"11,995","0,38"
"11,998","0,37"
"11,998","0,37"
"12,001","0,36"
"12,003","0,35"
"12,006","0,34"
"12,009","0,34"
"12,013","0,33"
"12,017","0,32"
"12,017","0,32"
"12,02","0,31"
"12,021","0,3"
"12,025","0,29"
"12,029","0,28"
"12,032","0,28"
"12,033","0,27"
"12,039","0,26"
"12,041","0,25"
"12,042","0,25"
"12,042","0,24"
"12,044","0,23"
"12,048","0,22"
"12,051","0,21"
"12,059","0,2"
"12,06","0,2"
"12,06","0,19"
"12,061","0,18"
"12,063","0,17"
"12,073","0,17"
"12,074","0,16"
"12,074","0,14"
"12,074","0,14"
"12,076","0,13"
"12,076","0,12"
"12,08","0,12"
"12,082","0,11"
"12,086","0,1"
"12,088","0,09"
"12,088","0,08"
"12,091","0,07"
"12,094","0,07"
"12,098","0,06"
"12,102","0,05"
"12,105","0,04"
"12,105","0,03"
"12,107","0,03"
"12,11","0,02"
"12,115","0,01"
"12,116",0
"12,117","-0,01"
"12,121","-0,01"
"12,124","-0,02"
"12,126","-0,03"
"12,127","-0,04"
"12,131","-0,05"
"12,134","-0,05"
"12,136","-0,06"
"12,136","-0,07"
"12,14","-0,08"
"12,144","-0,09"
"12,146","-0,09"
"12,147","-0,1"
"12,151","-0,11"
"12,153","-0,11"
"12,158","-0,13"
"12,159","-0,13"
"12,165","-0,14"
"12,165","-0,14"
"12,167","-0,15"
"12,168","-0,16"
"12,17","-0,17"
"12,175","-0,18"
"12,177","-0,19"
"12,177","-0,19"
"12,18","-0,2"
"12,184","-0,21"
"12,187","-0,22"
"12,187","-0,22"
"12,189","-0,23"
"12,195","-0,24"
"12,197","-0,24"
"12,197","-0,25"
"12,2","-0,26"
"12,205","-0,27"
"12,207","-0,27"
"12,207","-0,28"
"12,21","-0,29"
"12,214","-0,3"
"12,217","-0,31"
"12,218","-0,31"
"12,219","-0,32"
"12,224","-0,33"
"12,226","-0,34"
"12,226","-0,35"
"12,23","-0,35"
"12,234","-0,36"
"12,238","-0,37"
"12,239","-0,37"
"12,239","-0,38"
"12,245","-0,39"
"12,247","-0,4"
"12,247","-0,4"
"12,25","-0,41"
"12,256","-0,42"
"12,256","-0,43"
"12,256","-0,43"
"12,261","-0,44"
"12,265","-0,45"
"12,267","-0,45"
"12,267","-0,46"
"12,27","-0,47"
"12,275","-0,47"
"12,277","-0,48"
"12,277","-0,49"
"12,284","-0,49"
"12,284","-0,5"
"12,287","-0,51"
"12,288","-0,51"
"12,289","-0,51"
"12,295","-0,52"
"12,297","-0,53"
"12,298","-0,53"
"12,301","-0,54"
"12,308","-0,54"
"12,311","-0,55"
"12,312","-0,56"
"12,312","-0,56"
"12,314","-0,57"
"12,318","-0,57"
"12,319","-0,58"
"12,32","-0,59"
"12,325","-0,59"
"12,327","-0,59"
"12,327","-0,6"
"12,33","-0,61"
"12,334","-0,62"
"12,336","-0,62"
"12,337","-0,63"
"12,341","-0,63"
"12,345","-0,63"
"12,347","-0,64"
"12,348","-0,65"
"12,352","-0,65"
"12,357","-0,66"
"12,357","-0,66"
"12,358","-0,67"
"12,362","-0,67"
"12,365","-0,68"
"12,367","-0,68"
"12,367","-0,69"
"12,37","-0,69"
"12,373","-0,7"
"12,377","-0,71"
"12,377","-0,71"
"12,381","-0,71"
"12,385","-0,72"
"12,389","-0,72"
"12,39","-0,73"
"12,39","-0,73"
"12,393","-0,74"
"12,397","-0,74"
"12,398","-0,75"
"12,4","-0,75"
"12,404","-0,76"
"12,409","-0,76"
"12,41","-0,76"
"12,411","-0,77"
"12,413","-0,77"
"12,416","-0,78"
"12,417","-0,78"
"12,419","-0,79"
"12,426","-0,79"
"12,427","-0,79"
"12,428","-0,8"
"12,429","-0,8"
"12,431","-0,8"
"12,434","-0,81"
"12,441","-0,81"
"12,442","-0,81"
"12,442","-0,82"
"12,445","-0,82"
"12,447","-0,82"
"12,452","-0,83"
"12,453","-0,83"
"12,454","-0,83"
"12,457","-0,83"
"12,461","-0,84"
"12,464","-0,84"
"12,464","-0,85"
"12,467","-0,85"
"12,471","-0,85"
"12,474","-0,85"
"12,476","-0,85"
"12,477","-0,86"
"12,48","-0,86"
"12,483","-0,86"
"12,485","-0,86"
"12,489","-0,86"
"12,49","-0,86"
"12,491","-0,86"
"12,494","-0,87"
"12,498","-0,87"
"12,502","-0,87"
"12,502","-0,87"
"12,506","-0,87"
"12,508","-0,87"
"12,51","-0,87"
"12,513","-0,87"
"12,514","-0,87"
"12,517","-0,87"
"12,522","-0,88"
"12,524","-0,87"
"12,525","-0,87"
"12,527","-0,88"
"12,53","-0,88"
"12,534","-0,87"
"12,542","-0,88"
"12,543","-0,87"
"12,544","-0,87"
"12,544","-0,88"
"12,551","-0,88"
"12,552","-0,87"
"12,553","-0,88"
"12,553","-0,87"
"12,561","-0,88"
"12,562","-0,88"
"12,563","-0,88"
"12,563","-0,87"
"12,566","-0,87"
"12,569","-0,88"
"12,572","-0,87"
